,category,gene_program,p_h0,p_h1,log_bayes_factor
0,7,CEACAM6_ligand_receptor_GP,0.9869788515961947,0.013021148403805305,4.328073776225921
1,7,CXCL5_ligand_receptor_GP,0.015613720533229193,0.9843862794667708,-4.143868331327183
2,7,Add-on_60_GP,0.9821350737309549,0.017864926269045123,4.006889484115302
3,7,S100P_ligand_receptor_GP,0.019628851826395594,0.9803711481736044,-3.9109307067250554
4,7,Mmp7_ligand_receptor_target_gene_GP,0.02651004940807998,0.97348995059192,-3.6033636177038373
5,7,Spink1_ligand_receptor_target_gene_GP,0.03544393251515648,0.9645560674848436,-3.3037158795711163
6,7,Epcam_ligand_receptor_target_gene_GP,0.9628037893674427,0.03719621063255729,3.2536427502793885
7,7,ANGPTL5_ligand_receptor_GP,0.0411029549005117,0.9588970450994883,-3.149703698271871
8,7,DEFB4B_ligand_receptor_GP,0.9510248670667805,0.048975132933219534,2.966227532384748
9,7,FYN_ligand_receptor_GP,0.9463,0.05369999999999997,2.8691466419818035
10,7,Anxa2_ligand_receptor_target_gene_GP,0.9435930355259803,0.056406964474019716,2.817102332278941
11,7,LIFR_ligand_receptor_GP,0.05693090216837056,0.9430690978316294,-2.807301264595416
12,7,LGALS3BP_ligand_receptor_GP,0.057497344137019034,0.942502655862981,-2.7967999793784655
13,7,COMPLEX:IL12B_IL23A_ligand_receptor_GP,0.06326297035914676,0.9367370296408533,-2.6951024198851106
14,7,HLA-DPA1_ligand_receptor_GP,0.936530503824284,0.06346949617571596,2.69162267819925
15,7,HLA-DRA_ligand_receptor_GP,0.06671514125248913,0.9332848587475109,-2.6382785366317822
16,7,L-Glutamic acid_metabolite_enzyme_sensor_GP,0.06772242317877523,0.9322775768212248,-2.6222132605911863
17,7,Il4_ligand_receptor_target_gene_GP,0.06852200793284027,0.9314779920671598,-2.6096175860533717
18,7,9-cis-Retinoic acid_metabolite_enzyme_sensor_GP,0.07264562665598702,0.9273543733440129,-2.5467425815054834
19,7,TGFBR3_ligand_receptor_GP,0.0768,0.9232,-2.486641255588271
20,7,Estradiol_metabolite_enzyme_sensor_GP,0.077,0.923,-2.4838238126372647
21,7,COMPLEX:APP_BACE1_ligand_receptor_GP,0.07729137106533858,0.9227086289346614,-2.4797311861654414
22,7,TNFRSF1B_ligand_receptor_GP,0.9205845180115064,0.07941548198849357,2.450315477443483
23,7,Phosphate_metabolite_enzyme_sensor_GP,0.0794312580449958,0.9205687419550042,-2.4500997078724893
24,7,HLA-DQA1_ligand_receptor_GP,0.07957174484946362,0.9204282551505364,-2.448179990818474
25,7,HLA-DPB1_ligand_receptor_GP,0.919937916031231,0.08006208396876902,2.441503801867184
26,7,Cdh1_ligand_receptor_target_gene_GP,0.9187811188733013,0.08121888112669873,2.425900174496243
27,7,Col17a1_ligand_receptor_target_gene_GP,0.08732135170146846,0.9126786482985315,-2.3467888338183864
28,7,IL6R_ligand_receptor_GP,0.08988076207870155,0.9101192379212985,-2.315091695472404
