,source,target,strength,strength_unscaled,edge_type
0,16,16,1.0,138.76399088158695,Spp1_ligand_receptor_target_gene_GP
1,1,1,0.14,19.323964553792923,Spp1_ligand_receptor_target_gene_GP
2,16,1,0.12,16.06951722643895,Spp1_ligand_receptor_target_gene_GP
3,18,1,0.03,3.755014096332748,Spp1_ligand_receptor_target_gene_GP
4,3,1,0.02,3.1528669866404866,Spp1_ligand_receptor_target_gene_GP
5,1,16,0.02,3.0561493053236837,Spp1_ligand_receptor_target_gene_GP
6,14,1,0.02,2.854324452310808,Spp1_ligand_receptor_target_gene_GP
7,18,16,0.02,2.6018186519063913,Spp1_ligand_receptor_target_gene_GP
8,16,18,0.02,2.321268965582325,Spp1_ligand_receptor_target_gene_GP
9,3,3,0.01,1.8309239459366577,Spp1_ligand_receptor_target_gene_GP
10,5,1,0.01,1.451903482078902,Spp1_ligand_receptor_target_gene_GP
11,18,18,0.01,0.9897358236489835,Spp1_ligand_receptor_target_gene_GP
12,8,1,0.01,0.9616994227511665,Spp1_ligand_receptor_target_gene_GP
13,1,3,0.01,0.7633367922824432,Spp1_ligand_receptor_target_gene_GP
14,4,1,0.01,0.700991719509085,Spp1_ligand_receptor_target_gene_GP
