[True, False, True]
Run timestamp: 05102023_213300_18.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', 'batch7', 'batch8', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '100', '--active_gp_thresh_ratio', '0.03', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '15', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', '960', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.015625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '100.0', '--lambda_l1_addon', '100.0', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_18']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch8...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 48, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 48, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 631979
Number of validation nodes: 70220
Number of training edges: 1492281
Number of validation edges: 165809
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8960; val_auprc_score: 0.9817; val_best_acc_score: 0.9225; val_best_f1_score: 0.9573; train_kl_reg_loss: 14665.9071; train_edge_recon_loss: 638367.8464; train_cat_covariates_contrastive_loss: 948387.2641; train_gene_expr_recon_loss: 2763279.1941; train_masked_gp_l1_reg_loss: 11008.1240; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 29121.2152; train_global_loss: 4404829.5538; train_optim_loss: 4404829.5538; val_kl_reg_loss: 19174.2792; val_edge_recon_loss: 648711.5632; val_cat_covariates_contrastive_loss: 948522.9394; val_gene_expr_recon_loss: 2526776.7785; val_masked_gp_l1_reg_loss: 12074.3916; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 16342.8877; val_global_loss: 4171603.0532; val_optim_loss: 4171603.0532
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8996; val_auprc_score: 0.9815; val_best_acc_score: 0.9267; val_best_f1_score: 0.9594; train_kl_reg_loss: 20544.7767; train_edge_recon_loss: 623423.4188; train_cat_covariates_contrastive_loss: 951090.4259; train_gene_expr_recon_loss: 2391865.9447; train_masked_gp_l1_reg_loss: 15449.9720; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 17419.9823; train_global_loss: 4019794.5200; train_optim_loss: 4019794.5200; val_kl_reg_loss: 23114.5213; val_edge_recon_loss: 641684.9594; val_cat_covariates_contrastive_loss: 950399.6543; val_gene_expr_recon_loss: 2309298.7623; val_masked_gp_l1_reg_loss: 17945.6543; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 17981.6836; val_global_loss: 3960425.3966; val_optim_loss: 3960425.3966
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9160; val_auprc_score: 0.9850; val_best_acc_score: 0.9283; val_best_f1_score: 0.9603; train_kl_reg_loss: 23089.8189; train_edge_recon_loss: 620752.2054; train_cat_covariates_contrastive_loss: 952155.5423; train_gene_expr_recon_loss: 2267515.7730; train_masked_gp_l1_reg_loss: 19398.9578; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18358.3602; train_global_loss: 3901270.6581; train_optim_loss: 3901270.6581; val_kl_reg_loss: 23791.6647; val_edge_recon_loss: 641380.4675; val_cat_covariates_contrastive_loss: 953496.2375; val_gene_expr_recon_loss: 2240590.9861; val_masked_gp_l1_reg_loss: 20304.6055; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18350.5957; val_global_loss: 3897914.3441; val_optim_loss: 3897914.3441
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9207; val_auprc_score: 0.9859; val_best_acc_score: 0.9306; val_best_f1_score: 0.9614; train_kl_reg_loss: 24572.3937; train_edge_recon_loss: 622076.4644; train_cat_covariates_contrastive_loss: 952739.1166; train_gene_expr_recon_loss: 2219147.3319; train_masked_gp_l1_reg_loss: 21086.2073; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18556.4152; train_global_loss: 3858177.9299; train_optim_loss: 3858177.9299; val_kl_reg_loss: 23854.4426; val_edge_recon_loss: 641684.0031; val_cat_covariates_contrastive_loss: 956646.1150; val_gene_expr_recon_loss: 2201447.3754; val_masked_gp_l1_reg_loss: 21616.5410; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18672.9180; val_global_loss: 3863921.4367; val_optim_loss: 3863921.4367
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9209; val_auprc_score: 0.9857; val_best_acc_score: 0.9323; val_best_f1_score: 0.9624; train_kl_reg_loss: 26117.8070; train_edge_recon_loss: 617770.1230; train_cat_covariates_contrastive_loss: 953335.3395; train_gene_expr_recon_loss: 2188528.3767; train_masked_gp_l1_reg_loss: 21887.4225; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18784.9393; train_global_loss: 3826424.0092; train_optim_loss: 3826424.0092; val_kl_reg_loss: 25989.0734; val_edge_recon_loss: 641907.3965; val_cat_covariates_contrastive_loss: 955353.5162; val_gene_expr_recon_loss: 2177356.0640; val_masked_gp_l1_reg_loss: 22075.9766; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18826.8672; val_global_loss: 3841508.7994; val_optim_loss: 3841508.7994
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9206; val_auprc_score: 0.9851; val_best_acc_score: 0.9322; val_best_f1_score: 0.9623; train_kl_reg_loss: 27373.3297; train_edge_recon_loss: 618535.6226; train_cat_covariates_contrastive_loss: 953789.3197; train_gene_expr_recon_loss: 2167900.4990; train_masked_gp_l1_reg_loss: 22336.0472; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18881.0457; train_global_loss: 3808815.8645; train_optim_loss: 3808815.8645; val_kl_reg_loss: 29771.7389; val_edge_recon_loss: 643327.3426; val_cat_covariates_contrastive_loss: 952160.6215; val_gene_expr_recon_loss: 2162135.7238; val_masked_gp_l1_reg_loss: 22535.8711; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18921.9180; val_global_loss: 3828853.1736; val_optim_loss: 3828853.1736
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9188; val_auprc_score: 0.9847; val_best_acc_score: 0.9331; val_best_f1_score: 0.9627; train_kl_reg_loss: 28288.7578; train_edge_recon_loss: 618709.3632; train_cat_covariates_contrastive_loss: 954050.4590; train_gene_expr_recon_loss: 2151253.4814; train_masked_gp_l1_reg_loss: 22734.4316; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 18978.6055; train_global_loss: 3794015.0982; train_optim_loss: 3794015.0982; val_kl_reg_loss: 29098.2268; val_edge_recon_loss: 643200.5289; val_cat_covariates_contrastive_loss: 952461.0548; val_gene_expr_recon_loss: 2145187.8310; val_masked_gp_l1_reg_loss: 22817.1699; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19050.8242; val_global_loss: 3811815.6412; val_optim_loss: 3811815.6412
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9252; val_auprc_score: 0.9865; val_best_acc_score: 0.9355; val_best_f1_score: 0.9642; train_kl_reg_loss: 28102.8157; train_edge_recon_loss: 620659.2551; train_cat_covariates_contrastive_loss: 953673.4795; train_gene_expr_recon_loss: 2224639.6308; train_masked_gp_l1_reg_loss: 38394.8582; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 20038.9311; train_global_loss: 3885508.9745; train_optim_loss: 3885508.9745; val_kl_reg_loss: 29676.5163; val_edge_recon_loss: 637974.4322; val_cat_covariates_contrastive_loss: 954603.5621; val_gene_expr_recon_loss: 2155077.7562; val_masked_gp_l1_reg_loss: 25309.1035; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 18941.6562; val_global_loss: 3821583.0123; val_optim_loss: 3821583.0123
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9204; val_auprc_score: 0.9856; val_best_acc_score: 0.9323; val_best_f1_score: 0.9622; train_kl_reg_loss: 29912.5788; train_edge_recon_loss: 619215.4205; train_cat_covariates_contrastive_loss: 954829.1324; train_gene_expr_recon_loss: 2138762.5730; train_masked_gp_l1_reg_loss: 23123.5494; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19044.9392; train_global_loss: 3784888.1943; train_optim_loss: 3784888.1943; val_kl_reg_loss: 30830.0249; val_edge_recon_loss: 633707.7567; val_cat_covariates_contrastive_loss: 954145.6381; val_gene_expr_recon_loss: 2133889.0270; val_masked_gp_l1_reg_loss: 22813.7910; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19078.7637; val_global_loss: 3794464.9468; val_optim_loss: 3794464.9468
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9184; val_auprc_score: 0.9843; val_best_acc_score: 0.9364; val_best_f1_score: 0.9647; train_kl_reg_loss: 30601.3654; train_edge_recon_loss: 617774.0015; train_cat_covariates_contrastive_loss: 954722.5886; train_gene_expr_recon_loss: 2124301.1049; train_masked_gp_l1_reg_loss: 23262.1367; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19213.5723; train_global_loss: 3769874.7710; train_optim_loss: 3769874.7710; val_kl_reg_loss: 32937.7828; val_edge_recon_loss: 648572.0270; val_cat_covariates_contrastive_loss: 954093.6761; val_gene_expr_recon_loss: 2151561.1076; val_masked_gp_l1_reg_loss: 24438.8633; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19850.0586; val_global_loss: 3831453.3441; val_optim_loss: 3831453.3441
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9236; val_auprc_score: 0.9857; val_best_acc_score: 0.9351; val_best_f1_score: 0.9639; train_kl_reg_loss: 31332.0036; train_edge_recon_loss: 619463.9959; train_cat_covariates_contrastive_loss: 955234.1269; train_gene_expr_recon_loss: 2115576.6557; train_masked_gp_l1_reg_loss: 24015.6066; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 19338.3322; train_global_loss: 3764960.7282; train_optim_loss: 3764960.7282; val_kl_reg_loss: 32428.3477; val_edge_recon_loss: 639592.8220; val_cat_covariates_contrastive_loss: 953676.7413; val_gene_expr_recon_loss: 2119368.0648; val_masked_gp_l1_reg_loss: 24337.2188; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 19429.5859; val_global_loss: 3788832.7230; val_optim_loss: 3788832.7230
